DCA License Number,License Type,License Expiration Date,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code
1099298-DCA,Business,03/31/2019,SECURE PARKING LLC,,363,W 30TH ST,,NEW YORK,NY,10001,2126869800,Manhattan,1
1343881-DCA,Business,03/31/2019,SEAPORT PARKING LLC,,80,BEEKMAN ST,,NEW YORK,NY,10038,2126869800,Manhattan,1
2069414-DCA,Business,03/31/2019,RIVER PARK TOWERS GARAGE LLC,,55,RICHMAN PLZ,,BRONX,NY,10453,6465840409,Bronx,2
1461244-DCA,Business,03/31/2019,"IMPERIAL PARKING (U.S), LLC",IMPARK,9102,168TH ST,,JAMAICA,NY,11432,2129378660,Queens,4
1342356-DCA,Business,03/31/2019,"SESSANTA PARKING CO., LLC",,229,W 60TH ST,,NEW YORK,NY,10023,2128429308,Manhattan,1
2009039-DCA,Business,03/31/2019,LM Aldus Parking LLC,,951,HOE AVE,(Garage Entrance at 962 Aldus Street),BRONX,NY,10459,2127143571,Bronx,2
1172794-DCA,Business,03/31/2019,EMPIRE PARKING CORP.,,303,W 96TH ST,,NEW YORK,NY,10025,212-262-4771,Manhattan,1
1461260-DCA,Business,03/31/2019,IMPERIAL PARKING US LLC,IMPARK,120-01,ROOSEVELT AVENUE,,FLUSHING,NY,11368,2129378660,,
1222882-DCA,Business,03/31/2019,"50 EAST 79TH STREET CAR PARK, LLC",GGMC,50,E 79TH ST,,NEW YORK,NY,10075,2128790670,Manhattan,1
2043391-DCA,Business,03/31/2019,AZ PARKING CORP,,35,W 33RD ST,,NEW YORK,NY,10001,2125484370,Manhattan,1
2070245-DCA,Business,03/31/2019,PARKING 56 LLC,,33,W 56TH ST,,NEW YORK,NY,10019,6467734400,Manhattan,1
2009547-DCA,Business,03/31/2019,PARK NORTH PARKING CORP,,220,E 117TH ST,,NEW YORK,NY,10035,718-285-0102,Manhattan,1
2036643-DCA,Business,03/31/2019,"IMPARK WEST 56, LLC.",,33,W 56TH ST,,NEW YORK,NY,10019,212-937-8660,Manhattan,1
1117864-DCA,Business,03/31/2019,WEST 89TH STREET PARKING LLC,,205-209,W 89TH ST,,NEW YORK,NY,10024,2123749867,,
1341282-DCA,Business,03/31/2019,2010 PARKING INC.,,2010,WESTCHESTER AVE,,BRONX,NY,10462,7188929379,Bronx,2
1308680-DCA,Business,03/31/2019,305 EAST 80TH PARKING LLC,,305,E 80TH ST,,NEW YORK,NY,10075,2126283121,Manhattan,1
1467740-DCA,Business,03/31/2019,RAMCELL PARKING CORPORATION,,1484,JEROME AVE,,BRONX,NY,10452,646-764-0185,Bronx,2
1319920-DCA,Business,03/31/2019,TOWNHOUSE PARKING LLC,,177,E 73RD ST,,NEW YORK,NY,10021,2122881798,Manhattan,1
1461731-DCA,Business,03/31/2019,"IMPERIAL PARKING (U.S.), LLC",,12601,ROOSEVELT AVE,,FLUSHING,NY,11368,2129378660,Queens,4
1338636-DCA,Business,10/01/2018,HARL PARKING CORP.,,1481,5TH AVE,,NEW YORK,NY,10035,2129299404,Manhattan,1
1397433-DCA,Business,07/06/2018,"800 BRADY PARKING, INC.",,800,BRADY AVE,,BRONX,NY,10462,3478435023,Bronx,2
2070280-DCA,Business,03/31/2019,PARKING SYSTEMS PLUS INC,,301,E 69TH ST,,NEW YORK,NY,10021,8009441424,Manhattan,1
1386019-DCA,Business,03/31/2019,PARK RIGHT CORPORATION,,277,GOLD ST,,BROOKLYN,NY,11201,2122262798,Brooklyn,3
1452247-DCA,Business,03/31/2019,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",,15902,JAMAICA AVE,,JAMAICA,NY,11432,212-265-2239,Queens,4
1328126-DCA,Business,03/31/2019,M&N GROUP PARKING INC,,3158-60,JEROME AVE,,BRONX,NY,10468,917-470-5093,,
1273564-DCA,Business,03/31/2019,MERCURY PARKING LLC,,350,W 50TH ST,,NEW YORK,NY,10019,2126869800,Manhattan,1
2072503-DCA,Business,03/31/2019,"LAZ PARKING NEW YORK, NEW JERSEY LLC","LAZ PARKING NY, NJ LLC",525,E 68TH ST,,NEW YORK,NY,10065,2122652239,Manhattan,1
2038951-DCA,Business,03/31/2019,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",LAZ PARKING NY/NJ LLC,13620,38TH AVE,,FLUSHING,NY,11354,212-265-2239,Queens,4
2019880-DCA,Business,03/31/2019,GMH PARK INC,,1326,SPOFFORD AVE,,BRONX,NY,10474,9172140583,Bronx,2
0367816-DCA,Business,03/31/2019,"PARK-SERV, INC.",,140-166,W 53RD ST,,NEW YORK,NY,10019,2126869800,,
1234298-DCA,Business,03/31/2019,METROPOLITAN 51 PARKING LLC,,569-573,LEXINGTON AVE,,NEW YORK,NY,10022,2123088474,Manhattan,1
2025428-DCA,Business,03/31/2019,AUDUBON PARKING OPS LLC,,284,AUDUBON AVE,,NEW YORK,NY,10033,212-568-6400,Manhattan,1
2009544-DCA,Business,09/28/2015,"LAZ PARKING NEW YORK / NEW JERSEY, LLC","LAZ PARKING NY/NJ, LLC",388,BRIDGE ST,,BROOKLYN,NY,11201,212-265-2239,Brooklyn,3
2006294-DCA,Business,03/31/2019,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",,175,KENT AVE,,BROOKLYN,NY,11249,212-265-2239,Brooklyn,3
1290457-DCA,Business,03/31/2015,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",,3804,NOSTRAND AVE,,BROOKLYN,NY,11235,212-265-2239,Brooklyn,3
1184264-DCA,Business,03/31/2019,ICE HOUSE PARKING CORP.,,27,N MOORE ST,,NEW YORK,NY,10013,2129299404,Manhattan,1
2068514-DCA,Business,06/04/2018,ENTERPRISE 36TH STREET PARKING LLC,,411,W 35TH ST,,NEW YORK,NY,10001,212-564-3199,Manhattan,1
0920608-DCA,Business,03/31/2019,CAROUSEL PARKING CORP,,201,W 75TH ST,,NEW YORK,NY,10023,2123085959,Manhattan,1
1308597-DCA,Business,03/31/2019,"HOME HOSPITAL PARKING, LLC",,2621,AQUEDUCT AVE,,BRONX,NY,10468,2126279822,Bronx,2
2022443-DCA,Business,10/20/2015,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",,555,W 59TH ST,,NEW YORK,NY,10019,212-265-2239,Manhattan,1
2072507-DCA,Business,03/31/2019,"LAZ PARKING NEW YORK, NEW JERSEY LLC","LAZ PARKING NY, NJ LLC",507,E 70TH ST,,NEW YORK,NY,10021,2122652239,Manhattan,1
1151777-DCA,Business,03/31/2019,"BROOK PARKING GARAGE, INC.",,418,E 167TH ST,,BRONX,NY,10456,7185888328,Bronx,2
1422491-DCA,Business,03/31/2019,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",,839,AVENUE OF THE AMERICAS,,NEW YORK,NY,10001,212-265-2239,Manhattan,1
2027516-DCA,Business,03/31/2019,TAINO PARKING CORPORATION,,211,E 122ND ST,,NEW YORK,NY,10035,2124109174,Manhattan,1
2008172-DCA,Business,03/31/2015,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",,250,W 50TH ST,,NEW YORK,NY,10019,212-265-2239,Manhattan,1
1382731-DCA,Business,03/31/2019,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",,56-80,GREENWICH ST,,NEW YORK,NY,10006,212-265-2239,Manhattan,1
2064023-DCA,Business,03/31/2019,SUPER ELITE PARKING INC,,1872,E TREMONT AVE,,BRONX,NY,10460,3474855287,Bronx,2
1109621-DCA,Business,03/31/2019,EAST 105TH STREET PARKING LLC,,156,E 105TH ST,,NEW YORK,NY,10029,2125347019,Manhattan,1
2005668-DCA,Business,03/31/2019,QUIK PARK UNDERHILL LLC,,105,UNDERHILL AVE,,BROOKLYN,NY,11238,2128322066,Brooklyn,3
0369041-DCA,Business,03/31/2019,UNIVERSAL PARKING LLC,,55,W 14TH ST,,NEW YORK,NY,10011,212-686-9800,Manhattan,1
2038910-DCA,Business,05/30/2018,FULTON LAWRENCE PARKING LLC,,111,LAWRENCE ST,,BROOKLYN,NY,11201,2126869800,Brooklyn,3
1450060-DCA,Business,03/31/2019,ACCESS 37 PARKING LLC,,404,W 37TH ST,,NEW YORK,NY,10018,2126869800,Manhattan,1
1389855-DCA,Business,06/12/2018,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,9777,QUEENS BLVD,,REGO PARK,NY,11374,2125025490,Queens,4
1313881-DCA,Business,03/31/2019,DANAE MARRERO,SAFE PARKING II,424,E 147TH ST,,BRONX,NY,10455,9175674884,Bronx,2
1474028-DCA,Business,03/31/2019,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",LAZ PARKING NY/NJ LLC,267,6TH AVE,,BROOKLYN,NY,11215,212-265-2239,Brooklyn,3
2050361-DCA,Business,03/31/2019,403 East 60th Street Parking LLC,,403,E 60TH ST,,NEW YORK,NY,10022,,Manhattan,1
2051625-DCA,Business,03/31/2019,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",,347-353,E 17TH ST,,NEW YORK,NY,10003,212-265-2239,Manhattan,1
2028693-DCA,Business,03/31/2019,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",LAZ PARKING NY/NJ,265,E 66TH ST,,NEW YORK,NY,10065,212-265-2239,Manhattan,1
0976776-DCA,Business,03/31/2019,BRONX CAR PARK SYSTEMS INC.,,2425,SEDGWICK AVE,,BRONX,NY,10468,212-221-6111,Bronx,2
2021443-DCA,Business,03/31/2019,O & A PARKING GARAGE INC.,,1100,FRANKLIN AVE,,BRONX,NY,10456,7184839458,Bronx,2
0367917-DCA,Business,03/31/2019,ZENITH PARKING LLC,254 254 W 49 STREET,790,8TH AVE,,NEW YORK,NY,10019,212-686-9800,Manhattan,1
2046730-DCA,Business,03/31/2019,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",LAZ PARKING NY/NJ LLC,199,WATER ST,,NEW YORK,NY,10038,212-265-2239,Manhattan,1
2070361-DCA,Business,03/31/2019,KAPPA PARKING INC,,144,E 17TH ST,,NEW YORK,NY,10003,6468385122,Manhattan,1
1166505-DCA,Business,03/31/2019,MODERN PARKING LLC,,666,5TH AVE,,NEW YORK,NY,10103,2126869800,Manhattan,1
2072506-DCA,Business,03/31/2019,"LAZ PARKING NEW YORK, NEW JERSEY LLC","LAZ PARKING NY, NJ LLC",426,E 71ST ST,,NEW YORK,NY,10021,2122652239,Manhattan,1
1473819-DCA,Business,03/31/2019,181 PARK CORP.,,506,W 181ST ST,,NEW YORK,NY,10033,2129299404,Manhattan,1
1099297-DCA,Business,03/31/2019,205 THIRD PARKING LLC,,205,3RD AVE,,NEW YORK,NY,10003,2126869800,Manhattan,1
1241570-DCA,Business,03/31/2019,MANHATTAN PARKING 110 LLC,,543,W 110TH ST,,NEW YORK,NY,10025,2122227813,Manhattan,1
2072367-DCA,Business,03/31/2019,"LAZ PARKING NEW YORK, NEW JERSEY LLC",,279,AVENUE C,,NEW YORK,NY,10009,2122652239,Manhattan,1
1186721-DCA,Business,03/31/2019,NICE PARK LLC,,310,E 11TH ST,,NEW YORK,NY,10003,2129299404,Manhattan,1
0760802-DCA,Business,03/31/2019,MERIT PARKING LLC,,12,E 107TH ST,,NEW YORK,NY,10029,2126869800,Manhattan,1
2072375-DCA,Business,03/31/2019,"LAZ PARKING NEW YORK, NEW JERSEY LLC",,528,E 20TH ST,,NEW YORK,NY,10009,2122652239,Manhattan,1
2025430-DCA,Business,03/31/2019,162 PARKING OPS LLC,,528,W 162ND ST,,NEW YORK,NY,10032,212-568-7800,Manhattan,1
2028692-DCA,Business,03/31/2019,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",LAZ PARKING NY/NJ,525,E 72ND ST,,NEW YORK,NY,10021,212-265-2239,Manhattan,1
1431566-DCA,Business,03/31/2017,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",,360,E 65TH ST,,NEW YORK,NY,10065,212-265-2239,Manhattan,1
1117512-DCA,Business,03/31/2019,NEW OGDEN PARKING INC.,,156,W 166TH ST,,BRONX,NY,10452,7184662000,Bronx,2
2064021-DCA,Business,03/31/2019,SUPER ELITE PARKING INC,,257,E 187TH ST,,BRONX,NY,10458,3474855287,Bronx,2
2013343-DCA,Business,03/31/2017,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",,312,BERGEN ST,,BROOKLYN,NY,11217,212-265-2239,Brooklyn,3
0429658-DCA,Business,03/31/2019,REGAL PARKING LLC,,250,MADISON AVE,,NEW YORK,NY,10016,2126869800,Manhattan,1
2072271-DCA,Business,03/31/2019,LOVE PARKING LLC,,9,COLLEGE PL,,BROOKLYN,NY,11201,2126869800,Brooklyn,3
1250226-DCA,Business,03/31/2019,HEIGHTS 183 PARKING LLC,,2479,AMSTERDAM AVE,,NEW YORK,NY,10033,2126869800,Manhattan,1
0899744-DCA,Business,03/31/2019,COSMOPOLITAN PARKING CORP.,SAA,34,E 21ST ST,,NEW YORK,NY,10010,2122493344,Manhattan,1
1134343-DCA,Business,03/31/2019,JONATHAN & GABRIELLE PARKING INC.,,1521,INWOOD AVE,,BRONX,NY,10452,7187310931,Bronx,2
2029467-DCA,Business,03/06/2018,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",LAZ PARKNG NY/NJ LLC,8914,PARSONS BLVD,,JAMAICA,NY,11432,212-265-2239,Queens,4
2017701-DCA,Business,03/31/2015,ARTHUR MANAGEMENT CORPORATION,,4400,3RD AVE,,BRONX,NY,10457,7189603867,Bronx,2
1381089-DCA,Business,03/31/2019,BK PARKING GROUP INC,,27,W 170TH ST,,BRONX,NY,10452,3479615934,Bronx,2
2016568-DCA,Business,03/31/2019,515 NINTH AVENUE PARKING INC,,511,9TH AVE,,NEW YORK,NY,10018,212-736-7171,Manhattan,1
1431627-DCA,Business,03/31/2019,AD PARKING INC.,,1140,TIFFANY ST,,BRONX,NY,10459,7189939003,Bronx,2
0469247-DCA,Business,03/31/2019,UNIQUE PARKING LLC,,41,E 21ST ST,,NEW YORK,NY,10010,2126869800,Manhattan,1
1233434-DCA,Business,03/31/2019,FLATIRON 20 PARKING LLC,,21,W 20 ST,,NEW YORK,NY,10011,2122439384,Manhattan,1
2035633-DCA,Business,03/31/2019,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",LAZ PARKING NY/NJ LLC,300,SCHERMERHORN ST,,BROOKLYN,NY,11217,212-265-2239,Brooklyn,3
1013974-DCA,Business,03/31/2019,SOUTH WILLIAM PARKING LLC,,16,S WILLIAM ST,,NEW YORK,NY,10004,2126869800,Manhattan,1
1192245-DCA,Business,03/31/2019,231 EAST 94TH STREET PARKING LLC,,231,E 94TH ST,,NEW YORK,NY,10128,2128887400,Manhattan,1
0992413-DCA,Business,03/31/2019,CASTLE PARKING CORP.,,2846,WEBSTER AVE,,BRONX,NY,10458,7189334751,Bronx,2
1379517-DCA,Business,03/31/2019,ENTERPRISE ANN PARKING LLC,,57,ANN ST,,NEW YORK,NY,10038,2127143571,Manhattan,1
0427868-DCA,Business,03/31/2019,249 PARKING CORP.,,249,10TH AVE,,NEW YORK,NY,10001,2126457548,Manhattan,1
2034552-DCA,Business,03/31/2019,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",,200,CABRINI BLVD,,NEW YORK,NY,10033,212-265-2239,Manhattan,1
1450684-DCA,Business,01/10/2018,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",,247,W 46TH ST,,NEW YORK,NY,10036,212-265-2239,Manhattan,1
0838371-DCA,Business,03/31/2019,CONVENIENT PARKING LLC,,215,W 95TH ST,,NEW YORK,NY,10025,2126869800,Manhattan,1
2028691-DCA,Business,03/31/2019,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",LAZ PARKING NY/NJ,501,E 87TH ST,,NEW YORK,NY,10128,212-265-2239,Manhattan,1
0901637-DCA,Business,03/31/2019,WOOSTER PARKING CORP.,,349,CANAL ST,,NEW YORK,NY,10013,212-929-9404,Manhattan,1
1118641-DCA,Business,03/31/2019,"COLUMBUS CIRCLE PARKING, LLC",,330,W 58TH ST,,NEW YORK,NY,10019,2122459634,Manhattan,1
1291835-DCA,Business,03/31/2019,NATIONS 47 PARKING LLC,,885,2ND AVE,,NEW YORK,NY,10017,2126869800,Manhattan,1
0947353-DCA,Business,03/31/2019,WEST 108TH STREET PARKING GARAGE CORPORATION,,234,W 108TH ST,,NEW YORK,NY,10025,2122228800,Manhattan,1
0427125-DCA,Business,03/31/2019,ADVANCE PARKING LLC,,249,W 43RD ST,,NEW YORK,NY,10036,2122218902,Manhattan,1
2039078-DCA,Business,03/31/2019,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",LAZ PARKING NY/NJ LLC,779-789,RIVERSIDE DR,,NEW YORK,NY,10032,212-265-2239,Manhattan,1
0427311-DCA,Business,03/31/2019,SCR PARKING CORP.,,169,E 87TH ST,,NEW YORK,NY,10128,2122493344,Manhattan,1
2048881-DCA,Business,03/31/2019,40 FLATBUSH REALTY LLC,,25,CHAPEL ST,,BROOKLYN,NY,11201,2122398580,Brooklyn,3
1062413-DCA,Business,03/31/2019,HILLTOP PARKING CORP.,,305,E 182ND ST,,BRONX,NY,10457,7183649580,Bronx,2
1181507-DCA,Business,03/31/2019,99 PARK AVENUE CORP.,,99,PARK AVE,,NEW YORK,NY,10016,2128661000,Manhattan,1
1461242-DCA,Business,03/31/2019,"IMPERIAL PARKING (U.S.), LLC",IMPARK,168-36,90 AVENUE,,JAMAICA,NY,11432,2129378660,,
2068603-DCA,Business,09/10/2018,2211 3RD AVE PARKING LLC,,2211,3RD AVE,,NEW YORK,NY,10035,347-589-4139,Manhattan,1
1466982-DCA,Business,07/06/2018,"KINNEY PARKING SYSTEM, LLC",,555,W 57TH ST,,New York,NY,10019,2125025490,Manhattan,1
2052975-DCA,Business,03/31/2019,M&N Group Parking Inc,,2990,JEROME AVE,,BRONX,NY,10468,9174705093,Bronx,2
2065561-DCA,Business,09/11/2018,PARKING SYSTEMS PLUS INC,,260,BAYCHESTER AVE,,BRONX,NY,10475,8009441424,Bronx,2
1328283-DCA,Business,03/31/2019,RAPID 83 STREET PARKING CORP.,,351,E 83RD ST,,NEW YORK,NY,10028,2127443591,Manhattan,1
1310048-DCA,Business,03/31/2019,QUIK PARK 311 WB LLC,QUIK PARK INC.,311,W BROADWAY,,NEW YORK,NY,10013,2128322066,Manhattan,1
2065563-DCA,Business,09/11/2018,PARKING SYSTEMS PLUS INC,,280,BAYCHESTER AVE,,BRONX,NY,10475,8009441424,Bronx,2
1468022-DCA,Business,09/10/2018,QUIK PARK LIC LLC,,4545,CENTER BLVD,,LONG ISLAND CITY,NY,11109,2128322066,Queens,4
2018161-DCA,Business,03/31/2019,"IN LOT PARKING, INC.",,1963,GRAND CONCOURSE,,BRONX,NY,10453,3477713329,Bronx,2
0887551-DCA,Business,03/31/2019,"J & B PARKING GARAGE, INC.",,2123,AMSTERDAM AVE,,NEW YORK,NY,10032,2125433328,Manhattan,1
2012211-DCA,Business,03/31/2019,DIVINE PARKING GARAGE CORP,,3775,10TH AVE,,NEW YORK,NY,10034,2125442833,Manhattan,1
1440441-DCA,Business,03/31/2019,QUIK PARK PCVST GARAGE LLC,,527,E 14TH ST,,NEW YORK,NY,10009,2126145862,Manhattan,1
1440471-DCA,Business,03/31/2019,QUIK PARK PCVST GARAGE LLC,,325,AVENUE C,,NEW YORK,NY,10009,2126145862,Manhattan,1
1097397-DCA,Business,03/31/2019,"STABLE CAR PARKING, INC.",,614,W 153RD ST,,NEW YORK,NY,10031,212-979-9815,Manhattan,1
1440452-DCA,Business,03/31/2019,QUIK PARK PCVST GARAGE LLC,,251,AVENUE C,,NEW YORK,NY,10009,2126145862,Manhattan,1
1356319-DCA,Business,03/31/2019,F & R PARKING LOT CORP.,,65,NEW YORK AVE,,BROOKLYN,NY,11216,7183295670,Brooklyn,3
2054291-DCA,Business,09/19/2018,CHAMPION PARKING 92 LLC,,114,W 92ND ST,,NEW YORK,NY,10025,2123085959,Manhattan,1
1368921-DCA,Business,03/31/2019,Z AND G PARKING LLC,,2355,WEBSTER AVE,,BRONX,NY,10458,2129799815,Bronx,2
1338536-DCA,Business,09/27/2018,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,545,E 116TH ST,,NEW YORK,NY,10029,2125025490,Manhattan,1
2074574-DCA,Business,03/31/2019,FOR THE COMMUNITY PARKING GARAGE INC.,,1900,JEROME AVE,,BRONX,NY,10453,3473645413,Bronx,2
2063931-DCA,Business,09/17/2018,LM DRIGGS PARKING LLC,,247,METROPOLITAN AVE,,BROOKLYN,NY,11211,212-714-3571,Brooklyn,3
1440446-DCA,Business,03/31/2019,QUIK PARK PCVST GARAGE LLC,,420,E 20TH ST,,NEW YORK,NY,10009,2126145862,Manhattan,1
2039875-DCA,Business,03/31/2019,A & D 24 Hour Parking Inc,,2160,WEBSTER AVE,,BRONX,NY,10457,,Bronx,2
1137049-DCA,Business,07/06/2018,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,1321,6TH AVE,,NEW YORK,NY,10019,9175456763,Manhattan,1
1193541-DCA,Business,07/06/2018,RIVER PARKING SYSTEMS CORP.,,85,E 158TH ST,,BRONX,NY,10451,7189939026,Bronx,2
2029297-DCA,Business,10/07/2018,SYLVAN ASTORIA GARAGE LLC,,2325,31ST ST,,ASTORIA,NY,11105,7185759440,Queens,4
2074961-DCA,Business,03/31/2019,"LAZ PARKING NEW YORK, NEW JERSEY LLC","LAZ PARKING NY,NJ LLC",251,AVENUE C,,NEW YORK,NY,10009,2122652239,Manhattan,1
1338540-DCA,Business,07/06/2018,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,587,AVENUE OF THE AMERICAS,,NEW YORK,NY,10011,9175456763,Manhattan,1
2074959-DCA,Business,03/31/2019,"LAZ PARKING NEW YORK / NEW JERSEY, LLC","LAZ PARKING NY, NJ LLC",325,AVENUE C,,NEW YORK,NY,10009,212-265-2239,Manhattan,1
0965331-DCA,Business,07/06/2018,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,20990,23RD AVE,,BAYSIDE,NY,11360,9175456763,Queens,4
2074962-DCA,Business,03/31/2019,"LAZ PARKING NEW YORK / NEW JERSEY, LLC","LAZ PARKING NY,NJ LLC",527,E 14TH ST,,NEW YORK,NY,10009,212-265-2239,Manhattan,1
2000580-DCA,Business,07/06/2018,"CENTRAL PARKING SYSTEM OF NEW YORK, INC.",,1900,ARCHER ST,,BRONX,NY,10462,212-502-5490,Bronx,2
0964031-DCA,Business,07/06/2018,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,21,E 15TH ST,,NEW YORK,NY,10003,9175456763,Manhattan,1
2053064-DCA,Business,07/06/2018,"PRO PARK AMERICA NEW YORK, LLC",,204,W 101ST ST,,NEW YORK,NY,10025,9174152749,Manhattan,1
2023595-DCA,Business,07/06/2018,WALL STREET GARAGE PARKING CORP.,,1420,YORK AVE,,NEW YORK,NY,10021,2127373279,Manhattan,1
2058395-DCA,Business,09/24/2018,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",,504,MYRTLE AVE,,BROOKLYN,NY,11205,212-265-2239,Brooklyn,3
2068346-DCA,Business,09/27/2018,LM 29 PARK LLC,,221,W 29TH ST,,NEW YORK,NY,10001,2129672848,Manhattan,1
1277259-DCA,Business,07/06/2018,3000 JEROME PARKING CORP.,,3000,JEROME AVE,,BRONX,NY,10468,7183290617,Bronx,2
2053069-DCA,Business,07/06/2018,"PROPARK AMERICA NEW YORK, LLC",,920,PARK AVE,,NEW YORK,NY,10028,914-478-6300,Manhattan,1
2057853-DCA,Business,09/25/2018,255 SCHERMERHORN STREET PARKING CORP.,,33,BOND ST,,BROOKLYN,NY,11201,2127367171,Brooklyn,3
2038424-DCA,Business,09/19/2018,CHAMPION PARKING 113 LLC,,400,W 113TH ST,,NEW YORK,NY,10025,212-308-5959,Manhattan,1
1423788-DCA,Business,03/31/2019,ABLE PARKING LLC,,160,W 124TH ST,,NEW YORK,NY,10027,2129299404,Manhattan,1
1466978-DCA,Business,07/06/2018,"KINNEY PARKING SYSTEM, LLC",,515,FASHION AVE,,New York,NY,10018,2125025490,Manhattan,1
0953645-DCA,Business,07/06/2018,"J & B PARKING GARAGE, INC.",,477,W 165TH ST,,NEW YORK,NY,10032,2125433328,Manhattan,1
2013638-DCA,Business,07/06/2018,QUEENS BLVD PETROLEUM LLC,,3105,QUEENS BLVD,,LONG ISLAND CITY,NY,11101,914-699-9500,Queens,4
