Borough,Block,Lot,Hour,Minute
MN,111,160,4,48
MN,316,200,4,48
MN,765,47,4,46
MN,1373,50,4,46
MN,392,26,4,46
MN,619,56,4,47
MN,316,200,4,48
MN,593,27,4,43
MN,761,39,4,42
MN,809,80,4,48
MN,1,10,4,43
MN,810,45,4,44
MN,316,200,4,44
MN,262,25,4,44
MN,1285,46,4,46
MN,790,39,4,43
MN,1989,50,4,45
MN,1090,7501,4,49
MN,509,35,4,47
MN,1726,1,4,45
MN,1819,15,4,48
MN,1373,50,4,44
MN,482,16,4,46
MN,1631,25,4,45
MN,1836,29,4,49
MN,153,1,4,57
MN,1144,105,4,52
MN,1353,12,11,11
MN,1550,49,11,9
MN,1222,7501,11,9
MN,757,1,11,16
MN,1251,7501,10,59
MN,1245,19,11,8
MN,813,64,11,13
MN,1392,1,11,14
MN,1401,20,11,12
MN,1449,20,11,13
MN,791,68,11,12
MN,1284,33,11,14
MN,1397,61,11,16
MN,904,5,11,9
MN,434,36,11,12
MN,1512,16,11,13
MN,1264,5,11,13
MN,871,68,11,13
MN,1027,7504,11,16
MN,1380,26,11,13
MN,1387,51,11,16
MN,1216,7501,11,16
MN,1628,35,11,15
MN,1509,13,11,14
MN,862,7504,11,6
MN,1239,29,11,13
MN,1400,14,11,8
MN,195,4,11,8
MN,1288,63,11,12
MN,1002,7501,11,11
MN,1349,41,11,14
MN,1012,7502,11,5
MN,781,2,11,10
MN,896,1,11,7
MN,262,25,11,8
MN,1126,14,11,15
MN,817,27,11,10
MN,1383,51,11,13
MN,1394,1,11,15
MN,804,24,11,14
MN,850,16,11,12
MN,505,36,11,13
MN,241,13,4,37
MN,1306,1,4,35
MN,1954,36,4,35
MN,1819,15,4,37
MN,1373,50,4,36
MN,1819,15,4,37
MN,1244,12,11,6
MN,531,41,11,7
MN,1436,23,11,9
MN,1261,34,11,12
MN,826,42,11,8
MN,1952,11,11,9
MN,994,7503,11,14
MN,665,20,11,8
MN,840,43,11,15
MN,1147,29,11,13
MN,1038,61,11,10
MN,841,49,11,12
MN,241,10,4,44
MN,1,10,4,45
MN,378,9,4,46
MN,516,2,4,49
MN,924,34,4,46
MN,1032,7501,4,46
MN,909,34,4,46
MN,809,80,4,42
MN,367,100,4,45
MN,833,78,4,46
MN,915,5,4,51
MN,1232,7501,4,54
MN,1521,69,4,54
MN,241,13,4,50
MN,231,1,4,57
MN,1051,7503,4,56
MN,1819,15,4,56
MN,2069,8,4,54
MN,1373,200,4,56
MN,1094,29,4,57
MN,969,23,4,58
MN,767,1,4,57
MN,2114,5,4,59
MN,862,71,4,56
MN,262,25,4,57
MN,1232,45,4,59
MN,1964,1,4,59
MN,767,41,11,10
MN,1414,45,11,7
MN,838,48,11,10
MN,662,19,11,12
MN,604,14,11,13
MN,1291,51,11,12
MN,559,32,11,12
MN,1316,1,11,13
MN,783,34,11,11
MN,1273,44,11,10
MN,63,1,11,11
MN,1304,20,11,12
MN,890,25,11,9
MN,1157,1,11,10
MN,1056,24,11,12
MN,668,30,11,13
MN,73,10,11,13
MN,1519,44,11,11
MN,709,2,11,15
MN,1720,67,11,12
MN,1236,35,11,12
MN,1448,29,11,13
MN,1508,1,11,13
MN,1683,30,11,15
MN,809,4,11,14
MN,1013,12,11,13
MN,1158,7503,11,13
MN,543,42,11,15
MN,1468,1,11,15
MN,5,7501,11,13
MN,1890,53,11,9
MN,1164,32,11,13
MN,511,6,11,12
MN,1231,47,4,39
MN,905,59,4,39
MN,378,4,4,38
MN,1528,21,4,37
MN,962,1,4,39
MN,609,7503,4,37
MN,1186,95,4,43
MN,804,49,4,42
MN,543,32,4,42
MN,316,200,4,44
MN,1373,20,4,44
MN,1468,47,4,47
MN,241,13,4,43
MN,1034,101,4,47
MN,1334,23,4,44
MN,1373,50,4,44
MN,432,35,4,49
MN,1,10,4,49
MN,1460,22,4,45
MN,302,1,4,47
MN,443,32,4,49
MN,2150,1,4,47
MN,1819,203,4,49
MN,908,31,4,46
MN,1373,10,4,44
MN,1216,1,4,54
MN,1744,13,4,50
MN,1373,20,4,53
MN,1624,33,4,51
MN,19,8,4,51
MN,16,20,4,53
MN,996,21,4,51
MN,1881,3,4,59
MN,461,6,4,50
MN,262,25,4,55
MN,991,29,4,55
MN,422,47,4,53
MN,262,25,4,56
MN,935,1,4,58
MN,1337,1,4,55
MN,1243,7502,4,57
MN,1035,1,11,9
MN,807,1,11,14
MN,1445,34,11,13
MN,1749,61,11,13
MN,573,7502,11,12
MN,174,33,11,12
MN,848,43,11,12
MN,471,37,11,13
MN,809,69,11,12
MN,897,40,16,38
MN,1165,7505,4,35
MN,432,35,4,38
MN,1004,29,4,36
MN,1250,39,4,36
MN,1471,102,4,34
MN,731,58,4,44
MN,762,70,4,42
MN,997,17,4,43
MN,1333,49,4,39
MN,760,74,4,41
MN,1090,7502,4,42
MN,441,29,4,46
MN,73,10,4,46
MN,1062,48,4,46
MN,1819,15,4,50
MN,567,7501,11,10
MN,513,22,11,4
MN,870,7501,11,7
MN,1004,29,11,8
MN,39,12,11,10
MN,706,1,11,5
MN,262,25,11,9
MN,783,34,11,9
MN,1259,7502,11,9
MN,1275,14,11,7
MN,1390,3,11,11
MN,1387,36,11,9
MN,1819,15,11,11
MN,1492,130,11,11
MN,1195,29,11,11
MN,679,1,11,11
MN,1382,26,11,6
MN,1396,116,11,14
MN,521,1,11,13
MN,1750,50,4,55
MN,1276,33,4,46
MN,876,6,4,53
MN,1094,11,4,54
MN,1819,15,4,55
MN,400,60,4,53
MN,2215,623,4,52
MN,1473,47,4,53
MN,801,41,4,54
MN,1379,7504,11,10
MN,1513,38,11,11
MN,429,49,11,9
MN,883,22,11,8
MN,669,38,11,12
MN,1307,14,11,8
MN,811,21,11,11
MN,1406,7504,11,9
MN,917,26,11,8
MN,484,26,11,9
MN,891,46,11,11
MN,753,42,11,11
MN,73,10,11,13
MN,1383,58,11,11
MN,1473,4,11,15
MN,1395,17,11,9
MN,1107,5,4,53
MN,1435,23,4,37
MN,7,31,4,47
MN,2215,680,4,43
MN,1819,15,4,52
MN,745,1,4,53
MN,1293,5,11,10
MN,1138,7502,11,9
MN,1093,21,11,13
MN,1429,13,11,6
MN,1269,1,11,9
MN,523,48,11,8
MN,1210,7504,11,12
MN,761,31,11,10
MN,1387,50,11,13
MN,1439,30,11,13
MN,1143,64,11,14
MN,1373,7505,11,15
MN,1305,60,11,9
MN,995,33,11,17
MN,1512,1,11,16
MN,780,74,11,15
MN,316,200,4,51
MN,36,18,4,53
MN,436,42,4,51
MN,316,200,4,50
MN,1068,1,4,52
MN,241,13,4,58
MN,1093,9,11,8
MN,573,5,11,8
MN,1119,36,11,8
MN,575,11,11,10
MN,1373,10,11,9
MN,1532,6,11,11
MN,1048,8,11,11
MN,680,33,11,10
MN,1171,7511,11,9
MN,1384,7502,11,9
MN,1824,3,11,9
MN,709,1,11,9
MN,1121,16,11,13
MN,1502,40,11,9
MN,1129,29,11,10
MN,1326,22,11,9
MN,1419,7501,11,9
MN,1263,1,4,55
MN,202,28,4,56
MN,2038,1,4,50
MN,1276,69,4,56
MN,878,4,4,53
MN,262,25,4,54
MN,1215,64,4,55
MN,1495,33,11,9
MN,708,65,11,8
MN,783,34,11,10
MN,1070,1,11,9
MN,814,36,11,10
MN,1252,15,11,11
MN,262,25,11,12
MN,609,7,11,8
MN,439,28,11,11
MN,1403,33,11,11
MN,573,7502,11,13
MN,455,7,11,13
MN,316,200,11,13
MN,1507,4,11,14
MN,1505,121,11,10
MN,1282,17,11,14
MN,1386,37,11,13
MN,582,25,4,47
MN,1373,70,4,57
MN,1819,2,4,54
MN,1024,38,4,52
MN,526,81,4,54
MN,2091,32,4,53
MN,868,72,4,55
MN,1030,48,4,55
MN,427,7507,4,55
MN,32,7501,4,55
MN,1291,38,4,56
MN,1832,43,4,56
MN,1337,7501,4,56
MN,1548,5,4,56
MN,791,1,4,58
MN,1045,3,4,58
MN,262,25,4,56
MN,2149,104,5,0
MN,262,25,4,58
MN,1627,33,4,54
MN,592,26,4,37
MN,1819,15,4,37
MN,1520,56,4,37
MN,591,45,4,38
MN,807,39,4,40
MN,1226,37,4,39
MN,507,7502,4,36
MN,2043,18,4,43
MN,1819,15,4,44
MN,1373,50,4,45
MN,367,100,4,41
MN,396,7,4,44
MN,767,2,4,45
MN,665,11,4,44
MN,1462,1,4,39
MN,2160,18,4,46
MN,863,1,4,44
MN,1507,21,4,47
MN,830,1,4,46
MN,1373,10,4,49
MN,2215,80,4,44
MN,316,200,4,44
MN,1373,50,4,44
MN,850,24,11,16
MN,1407,59,11,15
MN,1294,37,11,16
MN,1230,35,11,15
MN,1509,38,4,47
MN,2002,69,4,44
MN,2071,1,4,47
MN,1013,7501,4,44
MN,162,53,4,43
MN,240,6,4,44
MN,1,201,4,44
MN,1075,29,4,47
MN,1819,15,4,43
MN,379,19,4,45
MN,1149,61,4,47
MN,1201,29,4,47
MN,1394,23,4,46
MN,1373,50,4,43
MN,801,36,4,53
MN,2,23,4,53
MN,2215,116,4,53
MN,1015,61,4,54
MN,241,10,4,54
MN,757,31,4,54
MN,316,200,11,11
MN,1427,23,11,15
MN,1142,33,11,15
MN,1379,51,11,10
MN,894,7503,11,11
MN,705,1,11,14
MN,1677,24,11,10
MN,781,2,11,14
MN,1435,39,11,13
MN,838,1,11,15
MN,1406,7504,11,14
MN,1143,64,11,14
MN,1414,45,11,14
MN,1236,61,11,26
MN,221,1,11,12
MN,1394,13,11,12
MN,848,12,10,42
MN,806,76,11,15
MN,780,45,11,14
MN,1111,1,10,52
MN,1142,64,10,53
MN,490,7502,10,54
MN,1820,7503,10,52
MN,803,7502,3,7
MN,1315,7501,3,8
MN,1325,31,3,5
MN,1329,1,3,6
MN,680,33,10,19
MN,1408,16,10,19
MN,1715,7,10,20
MN,367,100,10,19
MN,1164,7501,10,19
MN,1556,32,10,18
MN,1379,136,10,19
MN,1182,29,10,20
MN,1292,48,10,24
MN,1283,58,10,21
MN,695,7506,10,22
MN,1320,12,10,21
MN,1277,27,10,25
MN,16,7518,10,23
MN,500,36,10,22
MN,1184,3,10,22
MN,1524,7501,10,23
MN,1497,53,10,25
MN,895,1,10,22
MN,1292,69,11,8
MN,1282,34,11,13
MN,1382,24,11,19
MN,452,32,11,17
MN,1013,12,11,12
MN,1507,4,11,11
MN,1450,1,11,10
MN,524,1,11,16
MN,1003,29,11,9
MN,1238,5,11,14
MN,783,34,11,14
MN,1513,69,11,14
MN,1105,36,11,14
MN,735,35,11,11
MN,1195,29,11,14
MN,1819,15,11,8
MN,447,8,11,13
MN,887,95,11,14
MN,1396,15,11,15
MN,1137,7501,10,23
MN,570,7503,10,27
MN,1373,7506,10,23
MN,355,57,10,23
MN,1890,24,5,39
MN,891,86,5,44
MN,1530,45,5,39
MN,262,25,5,44
MN,939,45,5,42
MN,1529,45,5,39
MN,310,20,5,43
MN,25,7501,5,43
MN,1373,7506,5,43
MN,316,200,5,47
MN,1296,7501,5,47
MN,262,25,5,46
MN,262,25,5,48
MN,1373,7506,5,50
MN,818,21,5,48
MN,262,25,5,49
MN,372,41,5,45
MN,968,7501,6,1
MN,1269,66,6,0
MN,630,1,6,4
MN,1373,50,6,3
MN,1041,6,6,4
MN,757,22,11,12
MN,1212,1,11,15
MN,757,22,11,14
MN,1498,33,10,53
MN,607,38,10,53
MN,1289,21,10,52
MN,514,7505,10,52
MN,1433,24,10,49
MN,1162,1,10,26
MN,1576,1,10,27
MN,1269,1,10,27
MN,1501,1,10,30
MN,164,45,10,26
MN,783,34,10,27
MN,1331,7501,10,26
MN,1021,26,10,27
MN,680,33,10,26
MN,1542,14,10,24
MN,1048,8,10,31
MN,710,1,10,30
MN,1421,21,10,30
MN,1521,1,10,33
MN,1237,17,10,53
MN,610,56,10,53
MN,1291,127,10,54
MN,752,1,10,26
MN,784,28,10,30
MN,241,10,10,25
MN,1215,29,10,28
MN,1393,21,10,29
MN,1590,42,10,27
MN,93,1,10,25
MN,629,1,10,27
MN,2215,680,14,1
MN,1131,31,10,25
MN,610,7501,10,28
MN,763,65,10,27
MN,810,40,10,31
MN,423,11,10,30
MN,1413,40,10,32
MN,525,64,10,30
MN,1280,1,10,33
MN,1015,29,10,31
MN,1510,33,10,31
MN,1128,33,10,32
MN,1276,999,10,30
MN,1468,3,4,45
MN,452,6,4,42
MN,1373,7506,4,44
MN,316,200,4,44
MN,69,32,4,44
MN,1373,50,4,45
MN,142,50,4,40
MN,173,7504,4,46
MN,545,7504,4,43
MN,1113,47,4,42
MN,1318,30,4,47
MN,1114,7502,4,49
MN,801,39,4,48
MN,1543,130,4,47
MN,1341,30,4,48
MN,1373,50,5,2
MN,1373,10,4,55
MN,906,34,4,50
MN,1185,68,10,27
MN,540,14,10,26
MN,1521,17,10,26
MN,262,25,4,55
MN,1137,36,10,27
MN,1170,37,10,24
MN,1222,7501,10,26
MN,996,1,10,24
MN,1262,75,10,27
MN,1512,56,10,27
MN,1473,104,10,25
MN,1494,1,10,28
MN,1262,42,10,30
MN,1212,1,10,34
MN,1111,1,10,29
MN,1495,7501,10,28
MN,1285,46,10,30
MN,303,10,10,34
MN,996,14,10,30
MN,1045,27,10,29
MN,1553,22,10,35
MN,526,18,10,33
MN,878,4,10,32
MN,1012,7502,11,20
MN,1440,43,11,10
MN,705,1,11,12
MN,1896,72,11,14
MN,848,68,11,12
MN,1196,59,11,13
MN,1982,73,11,13
MN,1,10,11,15
MN,1351,30,11,16
MN,1344,49,11,11
MN,1211,135,11,14
MN,1474,21,11,15
MN,562,44,11,15
MN,1244,44,11,15
MN,461,29,11,15
MN,1396,116,10,53
MN,1168,56,10,54
MN,1280,54,10,50
MN,1092,29,10,28
MN,613,62,10,30
MN,1170,12,10,31
MN,853,2,10,37
MN,1265,71,10,32
MN,877,42,10,29
MN,316,200,4,53
MN,1124,27,4,54
MN,69,18,4,55
MN,802,77,4,55
MN,925,1,4,56
MN,1545,25,4,54
MN,1819,15,4,55
MN,746,75,4,54
MN,861,44,4,57
MN,394,7507,4,54
MN,1922,36,4,53
MN,316,200,4,54
MN,933,25,4,55
MN,847,16,4,59
MN,1373,200,4,56
MN,13,1,10,32
MN,690,54,10,29
MN,1120,9,10,30
MN,1342,1,10,28
MN,1124,27,10,32
MN,1404,33,10,30
MN,918,1,4,50
MN,834,11,4,47
MN,1363,47,4,45
MN,27,7501,4,44
MN,1616,20,4,48
MN,892,47,4,47
MN,115,1,4,49
MN,740,1,4,46
MN,1783,7501,4,45
MN,1982,61,4,47
MN,996,1,4,52
MN,1819,15,4,50
MN,1033,25,4,53
MN,823,41,10,31
MN,1291,1,10,30
MN,1982,73,10,30
MN,1265,50,10,34
MN,592,87,10,28
MN,895,1,10,30
MN,809,7501,10,31
MN,878,43,10,34
MN,1141,7502,10,32
MN,1563,22,10,33
MN,181,7504,11,12
MN,1603,35,11,12
MN,840,4,11,13
MN,1264,45,11,13
MN,835,41,11,12
MN,1010,32,11,15
MN,1010,7505,11,13
MN,136,7503,11,12
MN,668,30,11,14
MN,573,18,11,18
MN,516,1,11,13
MN,1257,1,6,28
MN,1392,17,11,17
MN,1195,29,11,14
MN,1443,30,11,15
MN,738,7501,10,29
MN,1019,55,10,30
MN,1480,1,10,30
MN,456,29,10,34
MN,448,34,10,28
MN,1284,52,10,32
MN,10,15,10,32
MN,1288,51,10,32
MN,547,18,10,30
MN,789,75,11,16
MN,1749,16,11,12
MN,1905,63,11,14
MN,1288,24,11,14
MN,1819,15,12,46
MN,1253,65,11,14
MN,619,50,11,16
MN,1773,33,11,10
MN,998,29,11,14
MN,784,41,11,14
MN,816,1,11,14
MN,1602,58,11,16
MN,1113,13,11,15
MN,63,15,11,14
MN,1389,36,11,15
MN,1869,29,10,55
MN,1433,29,10,55
MN,1272,34,10,54
MN,1387,1,10,31
MN,893,6,10,31
MN,816,31,10,32
MN,1070,1,10,32
MN,1401,33,10,32
MN,792,7504,4,46
MN,1373,7506,4,39
MN,1033,29,4,45
MN,1296,7501,4,49
MN,1027,20,10,32
MN,710,1,10,32
MN,1271,41,10,35
MN,737,17,10,32
MN,496,40,10,33
MN,1030,1,10,32
MN,1265,71,10,35
MN,1137,36,10,33
MN,906,33,10,33
MN,1236,10,10,29
MN,501,39,10,31
MN,522,43,10,34
MN,1003,29,10,33
MN,892,1,10,32
MN,1090,7501,10,35
MN,1819,15,10,30
MN,564,41,10,36
MN,634,47,10,36
MN,1845,40,10,37
MN,1071,7503,4,45
MN,1819,15,4,46
MN,1607,7501,4,45
MN,1373,50,4,48
MN,1888,25,4,47
MN,744,36,4,44
MN,316,200,4,46
MN,316,200,4,47
MN,818,39,10,35
MN,1522,40,10,32
MN,848,30,10,31
MN,1213,34,10,30
MN,36,30,10,35
MN,1273,30,10,32
MN,1450,17,10,30
MN,780,73,10,32
MN,878,4,10,34
MN,1876,29,10,34
MN,42,22,10,32
MN,142,11,10,30
MN,1066,32,10,32
MN,1513,38,10,33
MN,1030,58,10,27
MN,16,7510,11,19
MN,573,75,11,13
MN,42,22,11,11
MN,1556,1,11,12
MN,1016,51,11,28
MN,1526,39,11,14
MN,1043,22,11,15
MN,1562,21,11,14
MN,180,7508,11,14
MN,1495,69,11,15
MN,1232,27,11,21
MN,36,30,11,12
MN,1150,34,11,16
MN,1276,69,11,16
MN,1264,5,11,11
MN,1067,61,10,35
MN,884,63,10,31
MN,1390,23,10,33
MN,802,22,10,33
MN,783,34,10,36
MN,1165,7505,10,30
MN,1819,15,10,33
MN,864,35,10,31
MN,525,64,10,34
MN,523,48,10,28
MN,537,35,10,35
MN,571,31,10,30
MN,1495,69,10,32
MN,1281,69,10,32
MN,427,14,10,35
MN,564,20,10,36
MN,1497,71,10,36
MN,525,56,10,35
MN,1277,27,10,35
MN,1931,27,10,34
MN,781,2,10,40
MN,994,7501,10,33
MN,749,24,10,40
MN,1146,7504,10,37
MN,1269,8,10,36
MN,456,7501,10,37
MN,1231,11,10,39
MN,1412,7502,10,44
MN,1050,1,10,40
MN,1621,14,11,10
MN,807,17,11,14
MN,1158,7503,11,15
MN,1018,26,11,8
MN,827,28,11,13
MN,1341,7505,11,11
MN,1167,33,11,16
MN,1020,7502,11,14
MN,1284,7501,11,12
MN,1456,1,11,15
MN,780,73,11,14
MN,1000,29,11,14
MN,2013,1,11,11
MN,1522,158,11,14
MN,1001,55,11,11
MN,829,11,11,8
MN,787,1,11,15
MN,867,55,11,10
MN,262,25,11,15
MN,1205,1,11,16
MN,807,39,10,22
MN,645,11,10,24
MN,709,1,10,28
MN,1032,29,10,29
MN,864,7502,10,23
MN,1665,1,10,26
MN,1292,42,10,26
MN,1917,4,10,27
MN,780,70,10,29
MN,1215,1,10,26
MN,781,2,10,27
MN,783,48,10,30
MN,564,41,10,27
MN,1313,17,10,29
MN,1437,32,10,31
MN,1366,47,10,31
MN,1380,39,10,31
MN,799,35,10,31
MN,1028,56,10,26
MN,1113,20,10,31
MN,407,34,10,33
MN,95,27,10,28
MN,1017,9,10,32
MN,532,8,10,31
MN,1232,7501,10,31
MN,784,39,10,32
MN,1345,24,10,26
MN,1546,6,10,27
MN,1431,16,10,26
MN,692,63,10,25
MN,71,1,10,30
MN,1498,33,10,30
MN,1506,69,10,33
MN,1268,1,10,30
MN,1395,24,10,31
MN,2187,20,10,31
MN,1582,23,10,32
MN,1141,7502,10,29
MN,762,42,10,30
MN,555,1,10,32
MN,884,48,10,33
MN,1055,33,10,30
MN,1496,7502,10,31
MN,926,35,18,7
MN,1214,61,10,31
MN,884,1,10,33
MN,1293,37,10,35
MN,140,7504,10,32
MN,1389,50,10,33
MN,690,29,10,32
MN,1680,21,10,31
MN,1495,132,10,33
MN,1003,29,10,30
MN,1519,22,10,27
MN,407,36,10,32
MN,1118,1,10,33
MN,1259,54,10,32
MN,587,26,10,32
MN,471,43,10,33
MN,1226,7502,10,31
MN,832,78,10,31
MN,1404,22,10,33
MN,1390,23,10,32
MN,1033,64,10,32
MN,1157,1,10,28
MN,1038,34,10,36
MN,1264,45,10,29
MN,1484,1,10,30
MN,1414,7503,10,36
MN,1513,38,10,32
MN,520,79,10,30
MN,1116,1,10,37
MN,873,20,10,36
MN,1131,7501,10,37
MN,1293,16,10,38
MN,921,18,10,36
MN,1289,59,10,33
MN,821,40,10,30
MN,1634,65,10,33
MN,625,65,10,33
MN,1129,29,10,32
MN,316,200,10,35
MN,1570,48,10,36
MN,1304,7501,10,37
MN,396,29,10,39
MN,142,100,10,32
MN,243,1,10,36
MN,1602,38,10,38
MN,564,17,10,38
MN,1238,61,10,38
MN,1300,50,10,37
MN,1509,35,10,36
MN,780,6,10,38
MN,1065,132,10,39
MN,591,2,10,38
MN,1282,64,10,32
MN,1195,5,10,36
MN,1229,8,10,30
MN,882,8,10,31
MN,902,9,10,35
MN,1473,129,10,32
MN,1283,69,10,31
MN,1282,34,10,30
MN,1197,1,10,32
MN,1200,9,10,31
MN,1274,7504,10,33
MN,759,25,10,32
MN,1069,7501,10,37
MN,528,21,10,33
MN,1628,1,10,36
MN,16,220,10,38
MN,1311,40,10,37
MN,706,1,10,37
MN,842,21,10,36
MN,507,23,10,37
MN,529,72,10,38
MN,1602,7502,10,37
MN,1312,60,10,37
MN,833,11,10,38
MN,623,45,10,40
MN,717,39,10,27
MN,1149,31,10,32
MN,1819,40,10,32
MN,16,185,10,32
MN,912,7502,10,33
MN,890,20,10,34
MN,579,47,10,29
MN,897,1,10,40
MN,1283,21,10,32
MN,1122,29,10,33
MN,1137,61,10,37
MN,1503,1,10,36
MN,909,28,10,42
MN,485,7501,10,36
MN,883,74,10,36
MN,1562,22,10,36
MN,1278,20,10,37
MN,834,1,10,37
MN,1895,76,10,35
MN,1402,49,10,38
MN,1023,61,10,36
MN,837,87,10,28
MN,1404,22,10,31
MN,1288,69,10,27
MN,841,89,10,31
MN,409,53,10,31
MN,1265,71,10,31
MN,1146,7504,10,35
MN,1404,103,10,31
MN,1528,40,10,30
MN,719,44,10,34
MN,779,1,10,32
MN,1503,69,10,35
MN,1470,47,10,34
MN,842,21,10,37
MN,1139,7502,10,39
MN,1272,7502,10,37
MN,1336,10,10,36
MN,539,35,10,37
MN,755,40,10,33
MN,1547,130,10,35
MN,1149,17,10,36
MN,1114,7503,10,37
MN,1128,29,10,38
MN,1146,7501,10,35
MN,1277,27,10,38
MN,1121,61,10,38
MN,1502,40,10,39
MN,679,1,10,38
MN,999,19,10,34
MN,16,7510,10,36
MN,738,72,10,36
MN,996,21,10,37
MN,1156,30,10,37
MN,1257,2,10,36
MN,1059,15,10,33
MN,1171,7507,10,39
MN,501,36,10,38
MN,1284,33,10,34
MN,1099,54,10,39
MN,1516,7502,10,41
MN,1294,46,10,40
MN,1503,31,10,34
MN,512,7503,10,37
